Function,TotalNumber,N,ExecutionTime
EC2,1000,380,0.051523
EC2,1000,390,0.050323
EC2,1000,400,0.093213
EC2,1000,410,0.047631
EC2,1000,420,0.046421
EC2,1000,430,0.060740
EC2,1000,440,0.047032
EC2,1000,450,0.063893
EC2,1000,460,0.049378
EC2,1000,470,0.092025
EC2,1000,480,0.073634
EC2,1000,490,0.055561
EC2,1000,500,0.056141
EC2,1000,510,0.047761
EC2,1000,520,0.068425
EC2,1000,530,0.053273
EC2,1000,540,0.061013
EC2,1000,550,0.056452
EC2,1000,560,0.064208
EC2,1000,570,0.057379
EC2,1000,580,0.079582
EC2,1000,590,0.080220
EC2,1000,600,0.115003
EC2,1000,610,0.074967
EC2,1000,620,0.104069
EC2,1000,630,0.062647
EC2,1000,640,0.052374
EC2,1000,650,0.067946
EC2,1000,660,0.056687
EC2,1000,670,0.070082
EC2,1000,680,0.086381
EC2,1000,690,0.113131
EC2,1000,700,0.068668
EC2,1000,710,0.066211
EC2,1000,720,0.065813
EC2,1000,730,0.071599
EC2,1000,740,0.074730
EC2,1000,750,0.062916
EC2,1000,760,0.075075
EC2,1000,770,0.062792
EC2,1000,780,0.071960
EC2,1000,790,0.064238
EC2,1000,800,0.078375
EC2,1000,810,0.080556
EC2,1000,820,0.071086
EC2,1000,830,0.074427
EC2,1000,840,0.089528
EC2,1000,850,0.078625
EC2,1000,860,0.073018
EC2,1000,870,0.074297
EC2,1000,880,0.077040
EC2,1000,890,0.080280
EC2,1000,900,0.079083
EC2,1000,910,0.078092
EC2,1000,920,0.080066
EC2,1000,930,0.067147
EC2,1000,940,0.077182
EC2,1000,950,0.110237
EC2,1000,960,0.094866
EC2,1000,970,0.088187
EC2,1000,980,0.089258
EC2,1000,990,0.075295
Main,1000,10,0.021445
Main,1000,20,0.016176
Main,1000,30,0.016419
Main,1000,40,0.010443
Main,1000,50,0.007210
Main,1000,60,0.011191
Main,1000,70,0.018775
Main,1000,80,0.027344
Main,1000,90,0.026928
Main,1000,100,0.025678
Main,1000,110,0.020711
Main,1000,120,0.029677
Main,1000,130,0.048207
Main,1000,140,0.023718
Main,1000,150,0.029318
Main,1000,160,0.018902
Main,1000,170,0.019490
Main,1000,180,0.025158
Main,1000,190,0.029618
Main,1000,200,0.022029
Main,1000,210,0.025428
Main,1000,220,0.028428
Main,1000,230,0.041894
Main,1000,240,0.022308
Main,1000,250,0.018416
Main,1000,260,0.025734
Main,1000,270,0.034586
Main,1000,280,0.022824
Main,1000,290,0.033953
Main,1000,300,0.019372
Main,1000,310,0.029245
Main,1000,320,0.025016
Main,1000,330,0.052901
Main,1000,340,0.027640
Main,1000,350,0.018075
Main,1000,360,0.022073
Main,1000,370,0.046381
Main,1000,380,0.022732
Main,1000,390,0.033189
Main,1000,400,0.023163
Main,1000,410,0.021735
Main,1000,420,0.056620
Main,1000,430,0.023153
Main,1000,440,0.032892
Main,1000,450,0.027565
Main,1000,460,0.033680
Main,1000,470,0.018857
Main,1000,480,0.020212
Main,1000,490,0.018123
Main,1000,500,0.028155
Main,1000,510,0.023850
Main,1000,520,0.025566
Main,1000,530,0.030654
Main,1000,540,0.023765
