Function,Total Number,N,Execution Time
EC2,19200,70,0.289092
EC2,19200,80,0.315947
EC2,19200,90,0.345973
EC2,19200,100,0.377971
EC2,19200,110,0.413354
EC2,19200,120,0.451029
EC2,19200,130,0.491476
EC2,19200,140,0.534272
EC2,19200,150,0.579016
EC2,19200,160,0.625640
EC2,19200,170,0.675148
EC2,19200,180,0.726971
EC2,19200,190,0.779746
EC2,19200,200,0.835912
EC2,19200,210,0.893435
EC2,19200,220,0.953987
EC2,19200,230,1.017115
EC2,19200,240,1.081194
EC2,19200,250,1.147300
EC2,19200,260,1.215615
EC2,19200,270,1.285464
EC2,19200,280,1.358219
EC2,19200,290,1.432386
EC2,19200,300,1.509295
EC2,19200,310,1.586506
EC2,19200,320,1.665177
EC2,19200,330,1.746689
EC2,19200,340,1.830733
EC2,19200,350,1.915412
EC2,19200,360,2.003049
EC2,19200,370,2.093267
EC2,19200,380,2.183777
EC2,19200,390,2.284946
EC2,19200,400,2.370019
EC2,19200,410,2.466611
EC2,19200,420,2.563497
EC2,19200,430,2.662127
EC2,19200,440,2.761738
EC2,19200,450,2.863381
EC2,19200,460,2.966617
EC2,19200,470,3.071846
EC2,19200,480,3.177916
EC2,19200,490,3.286313
EC2,19200,500,3.395812
EC2,19200,510,3.508269
EC2,19200,520,3.621259
EC2,19200,530,3.736164
EC2,19200,540,3.852169
EC2,19200,550,3.972019
EC2,19200,560,4.092059
EC2,19200,570,4.225860
EC2,19200,580,4.334841
EC2,19200,590,4.462368
EC2,19200,600,4.585111
EC2,19200,610,4.711510
EC2,19200,620,4.842334
EC2,19200,630,4.972719
EC2,19200,640,5.104715
EC2,19200,650,5.239597
EC2,19200,660,5.373826
EC2,19200,670,5.509115
EC2,19200,680,5.646903
EC2,19200,690,5.791449
EC2,19200,700,5.965517
EC2,19200,710,6.070362
EC2,19200,720,6.215153
EC2,19200,730,6.356704
EC2,19200,740,6.503460
EC2,19200,750,6.650669
EC2,19200,760,6.800706
EC2,19200,770,6.946408
EC2,19200,780,7.110232
EC2,19200,790,7.252277
EC2,19200,800,7.405355
EC2,19200,810,7.558876
EC2,19200,820,7.716726
EC2,19200,830,7.874674
EC2,19200,840,8.031166
EC2,19200,850,8.189977
EC2,19200,860,8.363167
EC2,19200,870,8.514113
EC2,19200,880,8.681069
EC2,19200,890,8.846059
EC2,19200,900,9.014564
EC2,19200,910,9.180838
EC2,19200,920,9.355540
EC2,19200,930,9.518204
EC2,19200,940,9.690877
EC2,19200,950,9.866196
EC2,19200,960,10.038751
EC2,19200,970,10.214090
EC2,19200,980,10.398604
EC2,19200,990,10.566178
EC2,19200,1000,10.749592
Main,19200,10,0.814120
Main,19200,20,0.819775
Main,19200,30,0.814861
Main,19200,40,0.819205
Main,19200,50,0.816614
Main,19200,60,0.819114
Main,19200,70,0.823940
Main,19200,80,0.823214
Main,19200,90,0.821067
Main,19200,100,0.824719
Main,19200,110,0.831614
Main,19200,120,0.831661
Main,19200,130,0.826737
Main,19200,140,0.831327
Main,19200,150,0.829161
Main,19200,160,0.832384
Main,19200,170,0.830577
Main,19200,180,0.828925
Main,19200,190,0.834906
Main,19200,200,0.835270
Main,19200,210,0.837046
Main,19200,220,0.829330
Main,19200,230,0.830836
Main,19200,240,0.838613
Main,19200,250,0.835584
Main,19200,260,0.834755
Main,19200,270,0.839276
Main,19200,280,0.839058
Main,19200,290,0.836083
Main,19200,300,0.891349
Main,19200,310,0.847944
Main,19200,320,0.843903
Main,19200,330,0.842344
Main,19200,340,0.837031
Main,19200,350,0.844238
Main,19200,360,0.838459
Main,19200,370,0.844954
Main,19200,380,0.843051
Main,19200,390,0.845378
Main,19200,400,0.845229
Main,19200,410,0.849826
Main,19200,420,0.847926
Main,19200,430,0.844388
Main,19200,440,0.853475
Main,19200,450,0.847636
Main,19200,460,0.849034
Main,19200,470,0.851151
Main,19200,480,0.848328
Main,19200,490,0.853192
Main,19200,500,0.852300
Main,19200,510,0.849855
Main,19200,520,0.856416
Main,19200,530,0.858856
Main,19200,540,0.856432
Main,19200,550,0.857875
Main,19200,560,0.855062
Main,19200,570,0.859520
Main,19200,580,0.857646
Main,19200,590,0.856012
Main,19200,600,0.852731
Main,19200,610,0.856276
Main,19200,620,0.856452
Main,19200,630,0.862855
Main,19200,640,0.860570
Main,19200,650,0.859286
Main,19200,660,0.858336
Main,19200,670,0.885035
Main,19200,680,0.858007
Main,19200,690,0.864722
Main,19200,700,0.864853
Main,19200,710,0.863710
Main,19200,720,0.862541
Main,19200,730,0.866244
Main,19200,740,0.863161
Main,19200,750,0.865742
Main,19200,760,0.863347
Main,19200,770,0.867763
Main,19200,780,0.863508
Main,19200,790,0.862391
Main,19200,800,0.867085
Main,19200,810,0.868941
Main,19200,820,0.866400
Main,19200,830,0.868334
Main,19200,840,0.870422
Main,19200,850,0.867936
Main,19200,860,0.871929
Main,19200,870,0.866721
Main,19200,880,0.870743
Main,19200,890,0.870362
Main,19200,900,0.869946
Main,19200,910,0.870854
Main,19200,920,0.873955
Main,19200,930,0.870437
Main,19200,940,0.873189
Main,19200,950,0.877253
Main,19200,960,0.873007
Main,19200,970,0.877657
Main,19200,980,0.879064
Main,19200,990,0.876186
Main,19200,1000,0.876177
EC2,19300,10,0.185192
EC2,19300,20,0.195875
EC2,19300,30,0.210140
EC2,19300,40,0.228403
EC2,19300,50,0.248961
EC2,19300,60,0.272762
EC2,19300,70,0.295156
EC2,19300,80,0.322873
EC2,19300,90,0.353398
EC2,19300,100,0.386449
EC2,19300,110,0.422613
EC2,19300,120,0.460430
EC2,19300,130,0.500219
EC2,19300,140,0.542580
EC2,19300,150,0.588005
EC2,19300,160,0.634251
EC2,19300,170,0.684964
EC2,19300,180,0.736931
EC2,19300,190,0.791487
EC2,19300,200,0.847828
EC2,19300,210,0.907198
EC2,19300,220,0.967336
EC2,19300,230,1.031813
EC2,19300,240,1.095751
EC2,19300,250,1.163002
EC2,19300,260,1.233125
EC2,19300,270,1.304536
EC2,19300,280,1.377467
EC2,19300,290,1.452719
EC2,19300,300,1.529769
