Function,TotalNumber,N,ExecutionTime
EC2,1000,360,0.034012
EC2,1000,370,0.035174
EC2,1000,380,0.036318
EC2,1000,390,0.037494
EC2,1000,400,0.038708
EC2,1000,410,0.039781
EC2,1000,420,0.040913
EC2,1000,430,0.042104
EC2,1000,440,0.043227
EC2,1000,450,0.044399
EC2,1000,460,0.045493
EC2,1000,470,0.046622
EC2,1000,480,0.047705
EC2,1000,490,0.048755
EC2,1000,500,0.049810
EC2,1000,510,0.050871
EC2,1000,520,0.052027
EC2,1000,530,0.053128
EC2,1000,540,0.054212
EC2,1000,550,0.055576
EC2,1000,560,0.056356
EC2,1000,570,0.057460
EC2,1000,580,0.058415
EC2,1000,590,0.059476
EC2,1000,600,0.060467
EC2,1000,610,0.061391
EC2,1000,620,0.062327
EC2,1000,630,0.063241
EC2,1000,640,0.064189
EC2,1000,650,0.065098
EC2,1000,660,0.065944
EC2,1000,670,0.066869
EC2,1000,680,0.067701
EC2,1000,690,0.068952
EC2,1000,700,0.069400
EC2,1000,710,0.070220
EC2,1000,720,0.071030
EC2,1000,730,0.071736
EC2,1000,740,0.072425
EC2,1000,750,0.073063
EC2,1000,760,0.073694
EC2,1000,770,0.074317
EC2,1000,780,0.075024
EC2,1000,790,0.075552
EC2,1000,800,0.076191
EC2,1000,810,0.076680
EC2,1000,820,0.077751
EC2,1000,830,0.077637
EC2,1000,840,0.078069
EC2,1000,850,0.078516
EC2,1000,860,0.078989
EC2,1000,870,0.079345
EC2,1000,880,0.079776
EC2,1000,890,0.080134
EC2,1000,900,0.080524
EC2,1000,910,0.080818
EC2,1000,920,0.081136
EC2,1000,930,0.081729
EC2,1000,940,0.081602
EC2,1000,950,0.081770
EC2,1000,960,0.081901
EC2,1000,970,0.082055
EC2,1000,980,0.082194
EC2,1000,990,0.082262
EC2,1000,1000,0.082257
Main,1000,10,0.002350
Main,1000,20,0.002399
Main,1000,30,0.002433
Main,1000,40,0.002479
Main,1000,50,0.002489
Main,1000,60,0.002509
Main,1000,70,0.002529
Main,1000,80,0.002566
Main,1000,90,0.002591
Main,1000,100,0.002577
Main,1000,110,0.002621
Main,1000,120,0.002617
Main,1000,130,0.002626
Main,1000,140,0.002645
Main,1000,150,0.002649
Main,1000,160,0.002676
Main,1000,170,0.002690
Main,1000,180,0.002681
Main,1000,190,0.002761
Main,1000,200,0.002747
Main,1000,210,0.002774
Main,1000,220,0.002822
Main,1000,230,0.002789
Main,1000,240,0.002774
Main,1000,250,0.002762
Main,1000,260,0.002801
Main,1000,270,0.002788
Main,1000,280,0.002803
Main,1000,290,0.002809
Main,1000,300,0.002823
Main,1000,310,0.002845
Main,1000,320,0.002852
Main,1000,330,0.002865
Main,1000,340,0.002849
Main,1000,350,0.002886
