Function,Total Number,N,Execution Time
EC2,800,40,0.000943,
EC2,800,50,0.005999,
EC2,800,60,0.006464,
EC2,800,70,0.005391,
EC2,800,80,0.003142,
EC2,800,90,0.007222,
EC2,800,100,0.007909,
EC2,800,110,0.003759,
EC2,800,120,0.004015,
EC2,800,130,0.002978,
EC2,800,140,0.004598,
EC2,800,150,0.008371,
EC2,800,160,0.003821,
EC2,800,170,0.004161,
EC2,800,180,0.004437,
EC2,800,190,0.004807,
EC2,800,200,0.005120,
EC2,800,210,0.005398,
EC2,800,220,0.005784,
EC2,800,230,0.006064,
EC2,800,240,0.006420,
EC2,800,250,0.008112,
EC2,800,260,0.007237,
EC2,800,270,0.007348,
EC2,800,280,0.013498,
EC2,800,290,0.008044,
EC2,800,300,0.008349,
EC2,800,310,0.008688,
EC2,800,320,0.009035,
EC2,800,330,0.009348,
EC2,800,340,0.009657,
EC2,800,350,0.010046,
EC2,800,360,0.017439,
EC2,800,370,0.010647,
EC2,800,380,0.014015,
EC2,800,390,0.011379,
EC2,800,400,0.015392,
EC2,800,410,0.011956,
EC2,800,420,0.019835,
EC2,800,430,0.014007,
EC2,800,440,0.012926,
EC2,800,450,0.013216,
EC2,800,460,0.014820,
EC2,800,470,0.015224,
EC2,800,480,0.021926,
EC2,800,490,0.014381,
EC2,800,500,0.016038,
EC2,800,510,0.020657,
EC2,800,520,0.015199,
EC2,800,530,0.023256,
EC2,800,540,0.015623,
EC2,800,550,0.024126,
EC2,800,560,0.016146,
EC2,800,570,0.024480,
EC2,800,580,0.016563,
EC2,800,590,0.016834,
EC2,800,600,0.016976,
EC2,800,610,0.025365,
EC2,800,620,0.017337,
EC2,800,630,0.025560,
EC2,800,640,0.017661,
EC2,800,650,0.017827,
EC2,800,660,0.027806,
EC2,800,670,0.025334,
EC2,800,680,0.019636,
EC2,800,690,0.018477,
EC2,800,700,0.028222,
EC2,800,710,0.024352,
EC2,800,720,0.018804,
EC2,800,730,0.021784,
EC2,800,740,0.026377,
EC2,800,750,0.018983,
EC2,800,760,0.019041,
EC2,800,770,0.026306,
EC2,800,780,0.029099,
EC2,800,790,0.019065,
EC2,800,800,0.019111,
Main,800,10,0.000909,
Main,800,20,0.000944,
Main,800,30,0.000977,
Main,800,40,0.000971,
Main,800,50,0.001063,
Main,800,60,0.001005,
Main,800,70,0.001033,
Main,800,80,0.000949,
Main,800,90,0.000973,
Main,800,100,0.000971,
Main,800,110,0.000994,
Main,800,120,0.002484,
Main,800,130,0.002352,
Main,800,140,0.001013,
Main,800,150,0.001022,
Main,800,160,0.000999,
Main,800,170,0.001059,
Main,800,180,0.002449,
Main,800,190,0.002309,
Main,800,200,0.002622,
Main,800,210,0.004709,
Main,800,220,0.001057,
Main,800,230,0.001053,
Main,800,240,0.001048,
Main,800,250,0.001031,
Main,800,260,0.001030,
Main,800,270,0.002670,
Main,800,280,0.001076,
Main,800,290,0.001079,
Main,800,300,0.001032,
Main,800,310,0.001040,
Main,800,320,0.004817,
Main,800,330,0.001056,
Main,800,340,0.002694,
Main,800,350,0.001049,
Main,800,360,0.001062,
Main,800,370,0.001074,
Main,800,380,0.001085,
Main,800,390,0.001079,
Main,800,400,0.001070,
Main,800,410,0.002410,
Main,800,420,0.001109,
Main,800,430,0.001086,
Main,800,440,0.001054,
Main,800,450,0.003785,
Main,800,460,0.001107,
Main,800,470,0.001082,
Main,800,480,0.001109,
Main,800,490,0.001058,
Main,800,500,0.008120,
Main,800,510,0.009922,
Main,800,520,0.001096,
Main,800,530,0.001106,
Main,800,540,0.001065,
Main,800,550,0.001062,
Main,800,560,0.001061,
Main,800,570,0.001073,
Main,800,580,0.001045,
Main,800,590,0.001081,
Main,800,600,0.001073,
Main,800,610,0.001063,
Main,800,620,0.001062,
Main,800,630,0.001068,
Main,800,640,0.001063,
Main,800,650,0.006659,
Main,800,660,0.001059,
Main,800,670,0.001033,
Main,800,680,0.001019,
Main,800,690,0.001032,
Main,800,700,0.001001,
Main,800,710,0.004152,
Main,800,720,0.001012,
Main,800,730,0.009377,
Main,800,740,0.000974,
Main,800,750,0.001008,
Main,800,760,0.001017,
Main,800,770,0.000981,
Main,800,780,0.000950,
Main,800,790,0.000951,
Main,800,800,0.000978,
EC2,900,10,0.000575,
EC2,900,20,0.009071,
EC2,900,30,0.005434,
EC2,900,40,0.006653,
EC2,900,50,0.001235,
EC2,900,60,0.001453,
EC2,900,70,0.007040,
EC2,900,80,0.001939,
EC2,900,90,0.002280,
EC2,900,100,0.002573,
EC2,900,110,0.002837,
EC2,900,120,0.003145,
EC2,900,130,0.003466,
EC2,900,140,0.003851,
EC2,900,150,0.004187,
EC2,900,160,0.009560,
EC2,900,170,0.004897,
EC2,900,180,0.010545,
EC2,900,190,0.010640,
EC2,900,200,0.014113,
EC2,900,210,0.006474,
EC2,900,220,0.006851,
EC2,900,230,0.007285,
EC2,900,240,0.013734,
EC2,900,250,0.014451,
EC2,900,260,0.010004,
EC2,900,270,0.015426,
EC2,900,280,0.020039,
EC2,900,290,0.016627,
EC2,900,300,0.021241,
EC2,900,310,0.017348,
EC2,900,320,0.018427,
EC2,900,330,0.020630,
EC2,900,340,0.024734,
EC2,900,350,0.012470,
EC2,900,360,0.012897,
EC2,900,370,0.013347,
EC2,900,380,0.015246,
EC2,900,390,0.015667,
EC2,900,400,0.016086,
EC2,900,410,0.016567,
EC2,900,420,0.018144,
EC2,900,430,0.017208,
EC2,900,440,0.016917,
EC2,900,450,0.025108,
EC2,900,460,0.017156,
EC2,900,470,0.025939,
EC2,900,480,0.029539,
EC2,900,490,0.028124,
EC2,900,500,0.018690,
EC2,900,510,0.019448,
EC2,900,520,0.019390,
EC2,900,530,0.020887,
EC2,900,540,0.029027,
EC2,900,550,0.031020,
EC2,900,560,0.022348,
EC2,900,570,0.022686,
EC2,900,580,0.030888,
EC2,900,590,0.022101,
EC2,900,600,0.031974,
EC2,900,610,0.022483,
EC2,900,620,0.032287,
EC2,900,630,0.023164,
EC2,900,640,0.032767,
EC2,900,650,0.027006,
EC2,900,660,0.027679,
EC2,900,670,0.033614,
EC2,900,680,0.034902,
EC2,900,690,0.034712,
EC2,900,700,0.026347,
EC2,900,710,0.026554,
EC2,900,720,0.025991,
EC2,900,730,0.028182,
EC2,900,740,0.035180,
EC2,900,750,0.036864,
EC2,900,760,0.035624,
EC2,900,770,0.037461,
EC2,900,780,0.036417,
EC2,900,790,0.036430,
EC2,900,800,0.026843,
EC2,900,810,0.027102,
EC2,900,820,0.028542,
EC2,900,830,0.027099,
EC2,900,840,0.036061,
EC2,900,850,0.043499,
EC2,900,860,0.039496,
EC2,900,870,0.045126,
EC2,900,880,0.039966,
EC2,900,890,0.045859,
EC2,900,900,0.062314,
Main,900,10,0.017542,
Main,900,20,0.012167,
Main,900,30,0.008610,
Main,900,40,0.010369,
Main,900,50,0.001192,
Main,900,60,0.001199,
Main,900,70,0.001184,
Main,900,80,0.001208,
Main,900,90,0.001161,
Main,900,100,0.001204,
Main,900,110,0.001192,
Main,900,120,0.001175,
Main,900,130,0.001171,
Main,900,140,0.001185,
Main,900,150,0.004719,
Main,900,160,0.001254,
Main,900,170,0.001200,
Main,900,180,0.001233,
Main,900,190,0.001176,
Main,900,200,0.005045,
Main,900,210,0.001210,
Main,900,220,0.001211,
Main,900,230,0.001255,
Main,900,240,0.002817,
Main,900,250,0.001201,
Main,900,260,0.001237,
Main,900,270,0.001211,
Main,900,280,0.001265,
Main,900,290,0.001203,
Main,900,300,0.010730,
Main,900,310,0.001244,
Main,900,320,0.001255,
Main,900,330,0.001306,
Main,900,340,0.001280,
Main,900,350,0.001246,
Main,900,360,0.001211,
Main,900,370,0.001262,
Main,900,380,0.001248,
